Serving HTTP on 0.0.0.0 port 52301 (http://0.0.0.0:52301/) ...
172.17.0.1 - - [19/May/2025 03:54:19] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:54:22] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:54:25] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:54:28] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:54:31] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:54:34] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:54:37] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:54:40] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:54:43] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:54:46] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:54:49] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:54:52] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:54:55] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:54:58] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:00] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:00] code 404, message File not found
172.17.0.1 - - [19/May/2025 03:55:00] "GET /favicon.ico HTTP/1.1" 404 -
172.17.0.1 - - [19/May/2025 03:55:03] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:04] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:06] "GET /api-test.html HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:06] code 404, message File not found
172.17.0.1 - - [19/May/2025 03:55:06] "GET /js/api-test.js HTTP/1.1" 404 -
172.17.0.1 - - [19/May/2025 03:55:08] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:11] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:14] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:17] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:20] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:23] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:26] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:29] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:32] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:35] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:38] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:41] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:44] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:47] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:50] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:53] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:56] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:55:59] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [19/May/2025 03:56:02] "GET / HTTP/1.1" 200 -
